barrages,capacite_normal_mm3,reserve_mm3,taux_de_remplissage_percent,reserve_mm3_last_year,taux_de_remplissage_percent_last_year,date,ville,region
LALLA TAKERKOUST,"53,3","10,1","18,9","3,3","6,2",2021-10-10,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","12,3","23,1","3,6","6,7",2021-04-10,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","20,1","37,7","3,6","6,8",2021-05-10,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","10,0","18,7","3,4","6,3",2021-06-10,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","5,2","9,7","4,9","9,2",2021-07-10,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","10,1","18,9","4,3","8,1",2021-08-10,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,2","13,5","3,9","7,4",2021-09-10,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","10,0","18,7","3,3","6,1",2021-10-11,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","11,6","21,7","3,6","6,7",2021-04-11,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","20,0","37,5","3,6","6,8",2021-05-11,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,7","18,2","3,3","6,3",2021-06-11,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","5,1","9,5","4,8","9,1",2021-07-11,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,5","17,8","4,3","8,1",2021-08-11,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,1","13,3","3,9","7,4",2021-09-11,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,9","18,6","3,3","6,1",2021-10-12,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","10,9","20,4","3,6","6,7",2021-04-12,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","19,9","37,4","3,6","6,7",2021-05-12,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,5","17,8","3,3","6,3",2021-06-12,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,7","18,3","4,3","8,1",2021-08-12,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,0","13,2","3,9","7,4",2021-09-12,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,8","18,4","3,2","6,1",2021-10-13,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","16,6","31,1","3,6","6,7",2021-03-13,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","10,2","19,1","3,6","6,7",2021-04-13,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","19,8","37,2","3,6","6,7",2021-05-13,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,2","17,3","3,3","6,2",2021-06-13,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,7","18,2","4,3","8,0",2021-08-13,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,0","13,0","3,9","7,4",2021-09-13,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","16,6","31,1","3,6","6,7",2021-03-14,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,6","17,9","3,6","6,7",2021-04-14,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","19,7","37,0","3,6","6,7",2021-05-14,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,0","16,9","3,3","6,2",2021-06-14,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,6","18,1","4,3","8,0",2021-08-14,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,8","12,8","3,9","7,3",2021-09-14,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","16,6","31,1","3,4","6,5",2021-03-15,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,9","16,7","3,6","6,7",2021-04-15,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","19,6","36,8","3,6","6,7",2021-05-15,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,7","16,4","3,3","6,1",2021-06-15,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,5","17,8","4,3","8,0",2021-08-15,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,8","12,7","3,9","7,3",2021-09-15,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","16,6","31,1","3,4","6,5",2021-03-16,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,7","16,3","3,6","6,7",2021-04-16,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","19,5","36,7","3,5","6,6",2021-05-16,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,5","15,9","3,3","6,1",2021-06-16,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,4","17,7","4,3","8,0",2021-08-16,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,7","12,5","3,9","7,3",2021-09-16,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","16,6","31,1","3,4","6,5",2021-03-17,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,3","15,5","3,6","6,7",2021-04-17,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","19,4","36,5","3,6","6,7",2021-05-17,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,2","15,4","3,2","6,1",2021-06-17,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","4,0","7,5","4,8","9,0",2021-07-17,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,3","17,5","4,2","7,9",2021-08-17,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,6","12,3","3,9","7,3",2021-09-17,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","16,6","31,1","3,4","6,5",2021-03-18,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,7","14,5","3,6","6,7",2021-04-18,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","19,3","36,3","3,6","6,7",2021-05-18,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,9","14,9","3,2","6,1",2021-06-18,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,5","14,1","4,8","9,0",2021-07-18,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,2","17,3","4,2","7,9",2021-08-18,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,5","12,1","3,8","7,2",2021-09-18,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","16,6","31,1","3,4","6,5",2021-03-19,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,5","14,1","3,6","6,7",2021-04-19,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","19,2","36,0","3,6","6,7",2021-05-19,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,7","14,4","3,2","5,9",2021-06-19,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,8","18,4","4,8","8,9",2021-07-19,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,2","17,2","4,2","7,9",2021-08-19,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,4","12,0","3,8","7,2",2021-09-19,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","5,2","9,7","3,6","6,8",2021-10-01,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","3,2","6,1","7,2","13,5",2022-03-01,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","15,4","28,9","3,6","6,7",2021-04-01,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","21,3","40,0","3,7","6,9",2021-05-01,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","14,3","26,9","3,5","6,5",2021-06-01,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,1","11,4","5,0","9,3",2021-07-01,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,7","18,3","4,4","8,3",2021-08-01,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,0","15,1","4,0","7,6",2021-09-01,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","16,5","30,9","3,4","6,5",2021-03-20,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,3","13,7","3,6","6,8",2021-04-20,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","19,1","35,8","3,6","6,7",2021-05-20,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,4","13,9","3,2","5,9",2021-06-20,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","10,4","19,6","4,8","8,9",2021-07-20,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,0","17,0","4,2","7,8",2021-08-20,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,3","11,8","3,8","7,2",2021-09-20,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","16,4","30,7","3,4","6,5",2021-03-21,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,1","13,3","3,6","6,8",2021-04-21,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","19,0","35,6","3,6","6,7",2021-05-21,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,2","13,5","3,1","5,9",2021-06-21,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,8","18,5","4,7","8,9",2021-07-21,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,0","16,9","4,2","7,8",2021-08-21,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,2","11,6","3,8","7,1",2021-09-21,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","16,3","30,6","3,4","6,5",2021-03-22,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,2","15,4","3,6","6,8",2021-04-22,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","18,8","35,4","3,6","6,7",2021-05-22,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,1","13,3","3,1","5,9",2021-06-22,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,3","17,5","4,7","8,9",2021-07-22,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,8","16,6","4,2","7,8",2021-08-22,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,1","11,4","3,8","7,1",2021-09-22,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","16,2","30,3","3,4","6,5",2021-03-23,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,5","12,2","3,6","6,8",2021-04-23,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","18,7","35,1","3,6","6,7",2021-05-23,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,0","13,1","3,1","5,8",2021-06-23,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,8","16,6","4,7","8,8",2021-07-23,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,8","16,5","4,2","7,8",2021-08-23,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,0","11,3","3,8","7,1",2021-09-23,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","16,1","30,2","3,5","6,5",2021-03-24,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,0","15,1","3,6","6,8",2021-04-24,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","18,5","34,8","3,6","6,7",2021-05-24,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,9","12,9","3,1","5,8",2021-06-24,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,2","15,5","4,9","9,2",2021-07-24,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,7","16,3","4,1","7,7",2021-08-24,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","5,9","11,0","3,7","7,0",2021-09-24,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","16,1","30,2","3,5","6,5",2021-03-25,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","10,5","19,7","3,6","6,8",2021-04-25,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","18,3","34,3","3,6","6,7",2021-05-25,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,8","12,7","5,0","9,4",2021-06-25,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,7","14,4","4,6","8,7",2021-07-25,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,6","16,2","4,1","7,7",2021-08-25,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","5,8","10,9","3,7","7,0",2021-09-25,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","16,0","30,0","3,5","6,6",2021-03-26,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","13,1","24,5","3,6","6,8",2021-04-26,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","18,1","33,9","3,6","6,7",2021-05-26,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,7","12,5","5,0","9,4",2021-06-26,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,1","13,3","4,6","8,7",2021-07-26,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,6","16,1","4,1","7,7",2021-08-26,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","5,7","10,7","3,7","7,0",2021-09-26,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","15,9","29,8","3,5","6,6",2021-03-27,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","15,9","29,7","3,7","6,9",2021-04-27,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","17,5","32,8","3,6","6,7",2021-05-27,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,6","12,3","5,0","9,4",2021-06-27,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,4","11,9","4,6","8,7",2021-07-27,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,5","15,9","4,1","7,7",2021-08-27,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","5,6","10,5","3,7","6,9",2021-09-27,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","15,8","29,6","3,5","6,6",2021-03-28,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","18,4","34,6","3,7","6,9",2021-04-28,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","16,9","31,6","3,6","6,7",2021-05-28,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,5","12,1","5,0","9,4",2021-06-28,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","5,7","10,6","4,6","8,7",2021-07-28,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,4","15,7","4,1","7,6",2021-08-28,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","5,5","10,3","3,7","6,9",2021-09-28,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","15,7","29,4","3,6","6,7",2021-03-29,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","18,1","34,0","3,7","6,9",2021-04-29,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","16,2","30,5","3,6","6,7",2021-05-29,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,4","11,9","5,0","9,3",2021-06-29,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","5,1","9,7","4,6","8,6",2021-07-29,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,3","15,5","4,1","7,6",2021-08-29,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","5,4","10,1","3,7","6,9",2021-09-29,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","5,1","9,5","3,6","6,8",2021-10-02,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","15,3","28,7","3,6","6,7",2021-04-02,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","21,0","39,4","3,7","6,9",2021-05-02,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","13,3","25,0","3,4","6,5",2021-06-02,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,0","11,3","5,0","9,3",2021-07-02,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","12,4","23,2","4,4","8,3",2021-08-02,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,9","14,9","4,0","7,6",2021-09-02,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","15,5","29,1","3,6","6,7",2021-03-30,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","21,5","40,4","3,7","6,9",2021-04-30,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","16,2","30,5","3,6","6,7",2021-05-30,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,2","11,7","5,0","9,3",2021-06-30,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,2","15,4","4,0","7,6",2021-08-30,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","5,3","9,9","3,7","6,9",2021-09-30,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","15,0","28,1","3,5","6,5",2021-05-31,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,1","15,2","4,0","7,6",2021-08-31,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","5,4","10,2","3,6","6,8",2021-10-03,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","15,2","28,6","3,6","6,7",2021-04-03,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","20,8","39,0","3,7","6,9",2021-05-03,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","13,1","24,7","3,4","6,5",2021-06-03,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","5,9","11,1","4,9","9,3",2021-07-03,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","12,0","22,6","4,4","8,3",2021-08-03,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,8","14,7","4,0","7,6",2021-09-03,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,1","15,2","3,6","6,8",2021-10-04,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","15,0","28,1","3,6","6,7",2021-04-04,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","20,7","38,8","3,7","6,9",2021-05-04,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","12,5","23,5","3,4","6,4",2021-06-04,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","5,8","10,9","4,9","9,3",2021-07-04,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","11,7","22,0","4,4","8,2",2021-08-04,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,7","14,5","4,0","7,5",2021-09-04,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,8","18,3","3,6","6,7",2021-10-05,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","14,9","27,9","3,6","6,7",2021-04-05,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","20,6","38,6","3,6","6,8",2021-05-05,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","12,0","22,5","3,4","6,4",2021-06-05,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","5,7","10,7","4,9","9,3",2021-07-05,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","11,4","21,4","4,4","8,2",2021-08-05,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,7","14,4","4,0","7,5",2021-09-05,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,7","16,3","3,6","6,7",2021-10-06,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","14,4","27,1","3,6","6,7",2021-04-06,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","20,5","38,5","3,6","6,8",2021-05-06,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","11,4","21,5","3,4","6,4",2021-06-06,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","5,6","10,5","4,9","9,3",2021-07-06,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","11,1","20,8","4,4","8,2",2021-08-06,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,5","14,2","4,0","7,5",2021-09-06,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","10,3","19,3","3,5","6,6",2021-10-07,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","13,9","26,2","3,6","6,7",2021-04-07,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","20,4","38,3","3,6","6,8",2021-05-07,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","10,9","20,5","3,4","6,4",2021-06-07,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","5,5","10,3","4,9","9,2",2021-07-07,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","10,8","20,3","4,4","8,2",2021-08-07,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,5","14,1","4,0","7,5",2021-09-07,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","10,2","19,2","3,5","6,6",2021-10-08,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","13,4","25,1","3,6","6,7",2021-04-08,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","20,3","38,0","3,6","6,8",2021-05-08,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","10,5","19,6","3,4","6,4",2021-06-08,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","5,4","10,1","4,9","9,2",2021-07-08,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","10,6","19,8","4,4","8,2",2021-08-08,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,4","13,9","4,0","7,5",2021-09-08,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","10,1","19,0","3,4","6,4",2021-10-09,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","12,8","24,0","3,6","6,7",2021-04-09,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","20,1","37,8","3,6","6,8",2021-05-09,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","10,2","19,2","3,4","6,3",2021-06-09,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","5,3","9,9","4,9","9,2",2021-07-09,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","10,3","19,4","4,3","8,1",2021-08-09,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,3","13,7","4,0","7,5",2021-09-09,Marrakech,Marrakech-Safi 
